City,Super Category (P0),Category (P1),Sub Category (P2),SKU ID,Image,Brand,SKU Name,SKU Size,MRP,SP,Link,Active?,Out of Stock?
Bangalore,Fruits & Vegetables,fruits-vegetables,Apples & Pomegranate,10000269,https://www.bigbasket.com/media/uploads/p/s/10000269_32-fresho-pomegranate.jpg,Fresho,Fresho Pomegranate,4 pcs,202.63,38.50,https://www.bigbasket.com/pd/10000269/fresho-pomegranate-4-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,50000511,https://www.bigbasket.com/media/uploads/p/s/50000511_7-fresho-chilli-green-organically-grown.jpg,Fresho,"Chilli - Green, Organically Grown (Loose)",100 g,13.16,0.10,https://www.bigbasket.com/pd/50000511/fresho-chilli-green-organically-grown-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,40023472,https://www.bigbasket.com/media/uploads/p/s/40023472_5-fresho-onion-organically-grown.jpg,Fresho,Onion - Organically Grown (Loose),1 kg,34.21,26.00,https://www.bigbasket.com/pd/40023472/fresho-onion-organically-grown-1-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,40022638,https://www.bigbasket.com/media/uploads/p/s/40022638_4-fresho-tomato-local-organically-grown.jpg,Fresho,"Tomato - Local, Organically Grown (Loose)",500 g,11.84,0.02,https://www.bigbasket.com/pd/40022638/fresho-tomato-local-organically-grown-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,50000509,https://www.bigbasket.com/media/uploads/p/s/50000509_5-fresho-ginger-organically-grown.jpg,Fresho,Ginger - Organically Grown (Loose),100 g,28.95,0.22,https://www.bigbasket.com/pd/50000509/fresho-ginger-organically-grown-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Fruits,40023474,https://www.bigbasket.com/media/uploads/p/s/40023474_7-fresho-banana-yelakki-organically-grown.jpg,Fresho,"Banana - Yelakki, Organically Grown",500 g,64.47,0.10,https://www.bigbasket.com/pd/40023474/fresho-banana-yelakki-organically-grown-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,40004383,https://www.bigbasket.com/media/uploads/p/s/40004383_13-fresho-amla.jpg,Fresho,Amla (Loose),100 g,17.11,0.13,https://www.bigbasket.com/pd/40004383/fresho-amla-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,40022639,https://www.bigbasket.com/media/uploads/p/s/40022639_5-fresho-cucumber-organically-grown.jpg,Fresho,Cucumber - Organically Grown (Loose),500 g,19.74,0.03,https://www.bigbasket.com/pd/40022639/fresho-cucumber-organically-grown-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,50000461,https://www.bigbasket.com/media/uploads/p/s/50000461_6-fresho-beans-french-ring-organically-grown.jpg,Fresho,Beans - Organically Grown (Loose),250 g,51.32,0.16,https://www.bigbasket.com/pd/50000461/fresho-beans-french-ring-organically-grown-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Fruits,40023482,https://www.bigbasket.com/media/uploads/p/s/40023482_8-fresho-watermelon-organically-grown.jpg,Fresho,Watermelon - Organically Grown (Loose),1 pc (approx. 1 -3 kg),73.68,56.00,https://www.bigbasket.com/pd/40023482/fresho-watermelon-organically-grown-1-pc-approx-1-3-kg/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Organic Vegetables,40022636,https://www.bigbasket.com/media/uploads/p/s/40022636_5-fresho-tomato-hybrid-organically-grown.jpg,Fresho,"Tomato - Hybrid, Organically Grown (Loose)",500 g,10.53,0.02,https://www.bigbasket.com/pd/40022636/fresho-tomato-hybrid-organically-grown-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",1221868,https://www.bigbasket.com/media/uploads/p/s/1221868_1-fresho-tender-coconut.jpg,Fresho,Tender Coconut,5 pcs,309.20,-,https://www.bigbasket.com/pd/1221868/fresho-tender-coconut-5-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cut & Peeled Veggies,40010687,https://www.bigbasket.com/media/uploads/p/s/40010687_4-fresho-garlic-peeled.jpg,Fresho,Garlic - Peeled,100 g,53.95,0.41,https://www.bigbasket.com/pd/40010687/fresho-garlic-peeled-100-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",40005823,https://www.bigbasket.com/media/uploads/p/s/40005823_7-fresho-pomegranate-peeled.jpg,Fresho,Pomegranate - Peeled,200 g,161.84,0.62,https://www.bigbasket.com/pd/40005823/fresho-pomegranate-peeled-200-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cut & Peeled Veggies,40100024,https://www.bigbasket.com/media/uploads/p/s/40100024_3-fresho-jackfruit-cut-raw.jpg,Fresho,"Jackfruit - Cut, Raw",200 g,25.00,0.10,https://www.bigbasket.com/pd/40100024/fresho-jackfruit-cut-raw-200-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",40119401,https://www.bigbasket.com/media/uploads/p/s/40119401_5-fresho-pomegranate-single-serve-peeled.jpg,Fresho,"Pomegranate - Single Serve, Peeled",80 g,80.26,0.76,https://www.bigbasket.com/pd/40119401/fresho-pomegranate-single-serve-peeled-80-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cut & Peeled Veggies,40050087,https://www.bigbasket.com/media/uploads/p/s/40050087_4-fresho-pumpkin-green-cut.jpg,Fresho,Pumpkin Green - Cut,500 g,38.16,0.06,https://www.bigbasket.com/pd/40050087/fresho-pumpkin-green-cut-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cut & Peeled Veggies,40005819,https://www.bigbasket.com/media/uploads/p/s/40005819_5-fresho-sambar-onion-peeled-small-onion.jpg,Fresho,Sambar Onion - Peeled (Small Onion),200 g,50.00,0.19,https://www.bigbasket.com/pd/40005819/fresho-sambar-onion-peeled-small-onion-200-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cut & Peeled Veggies,40050086,https://www.bigbasket.com/media/uploads/p/s/40050086_3-fresho-ash-gourd-cut.jpg,Fresho,Ash Gourd - Cut,250 g,51.32,0.16,https://www.bigbasket.com/pd/40050086/fresho-ash-gourd-cut-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",1222459,https://www.bigbasket.com/media/uploads/p/s/1222459_1-fresho-tender-coconut-premium.jpg,Fresho,Tender Coconut - Premium,3 x 1 pc,275.04,-,https://www.bigbasket.com/pd/1222459/fresho-tender-coconut-premium-3-x-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Cut Fruit, Tender Coconut",20006455,https://www.bigbasket.com/media/uploads/p/s/20006455_2-fresho-jackfruit-peeled.jpg,Fresho,Jackfruit - Peeled,250 g,143.42,0.44,https://www.bigbasket.com/pd/20006455/fresho-jackfruit-peeled-250-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Vegetables,10000063,https://www.bigbasket.com/media/uploads/p/s/10000063_20-fresho-broccoli.jpg,Fresho,Broccoli,1 pc,28.95,22.00,https://www.bigbasket.com/pd/10000063/fresho-broccoli-1-pc/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,"Kiwi, Melon, Citrus Fruit",20000911,https://www.bigbasket.com/media/uploads/p/s/20000911_30-fresho-kiwi-green.jpg,Fresho,Kiwi - Green,3 pcs,96.05,24.33,https://www.bigbasket.com/pd/20000911/fresho-kiwi-green-3-pcs/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Vegetables,10000273,https://www.bigbasket.com/media/uploads/p/s/10000273_16-fresho-mushrooms-button.jpg,Fresho,Mushrooms - Button,1 pack,75.00,57.00,https://www.bigbasket.com/pd/10000273/fresho-mushrooms-button-1-pack/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Cucumber & Capsicum,10000599,https://www.bigbasket.com/media/uploads/p/s/10000599_12-fresho-cucumber-english.jpg,Fresho,Cucumber - English (Loose),500 g,28.95,0.04,https://www.bigbasket.com/pd/10000599/fresho-cucumber-english-500-g/,-,-
Bangalore,Fruits & Vegetables,fruits-vegetables,Exotic Vegetables,40004992,https://www.bigbasket.com/media/uploads/p/s/40004992_14-fresho-sweet-corn.jpg,Fresho,Sweet Corn (Loose),2 pcs,42.11,16.00,https://www.bigbasket.com/pd/40004992/fresho-sweet-corn-2-pcs/,-,-
