Restaurant Name,Latitude,Longitude
Gogodimsum - St. Peter [Available for LONG-DISTANCE DELIVERY],14.590324,120.982393
Diversitea - Loyola Street,14.6042256,120.9895675
Karate Kid - Centro Escolar University [Available for LONG-DISTANCE DELIVERY],14.59879715,120.9925765
Shancha Fresh Juice & Milktea - Benavidez Street [Available for LONG-DISTANCE DELIVERY],14.60207581,120.9760154
Happy Ice Scramble - Yuchengco Binondo,14.600335,120.975816
Fry Guys - Quiapo,14.60046365,120.9885724
Vista Hotel and Restaurant - Recto Street,14.6038780625,120.9812034
Smile To Go - University Tower 4 [Available for LONG-DISTANCE DELIVERY],14.60616220909091,120.98993409999999
Soy & Bean and Balai Pandesal - New Piac Bee,14.60167757,120.97780805714287
Street Kings - UST [Available for LONG-DISTANCE DELIVERY],14.607173,120.987762
Glazed Unlimited Wings Manila - Gastambide [Available for LONG-DISTANCE DELIVERY],14.60269656,120.9903477
